icd10cm,phecode
C4479,172.2
C4430,172.2
C4A72,172.2
C4A31,172.2
C4A4,172.2
C4409,172.2
C44390,172.2
C44300,172.2
C44202,172.2
C4A2,172.2
C446,172.2
C44590,172.2
C44602,172.2
C44399,172.2
C44500,172.2
C4411,172.2
C44192,172.2
C44691,172.2
C4420,172.2
C44599,172.2
C44591,172.2
C44209,172.2
C4489,172.2
C4A12,172.2
C4461,172.2
C4421,172.2
C44791,172.2
C4A21,172.2
C4A71,172.2
C4A0,172.2
C44509,172.2
C449,172.2
C44101,172.2
C4470,172.2
C4429,172.2
C4459,172.2
C44201,172.2
C44391,172.2
C4A52,172.2
C44702,172.2
C4490,172.2
C4472,172.2
C4469,172.2
C44692,172.2
C4A9,172.2
C4A3,172.2
C44701,172.2
C444,172.2
C44792,172.2
C4412,172.2
C44601,172.2
C447,172.2
C4460,172.2
C4449,172.2
C442,172.2
C4452,172.2
C4A5,172.2
C44292,172.2
C44299,172.2
C44699,172.2
C4A60,172.2
C4A61,172.2
C4A59,172.2
C44301,172.2
C4499,172.2
C4440,172.2
C440,172.2
C44799,172.2
C44109,172.2
C44709,172.2
C4419,172.2
C44199,172.2
C448,172.2
C4A22,172.2
C4A,172.2
C4A1,172.2
C4422,172.2
C4410,172.2
C4A39,172.2
C4A6,172.2
C4A70,172.2
C4431,172.2
C4A51,172.2
C4A20,172.2
C441,172.2
C4480,172.2
F19980,316
F14920,316
F1916,316
O99323,316
F1494,316
F12929,316
F12950,316
F12250,316
F15282,316
F14250,316
F14,316
F1420,316
F19930,316
F18259,316
F18988,316
F1919,316
F14122,316
F1997,316
F550,316
F14951,316
F181,316
F12951,316
F13232,316
F1629,316
F19932,316
F18951,316
O9932,316
F15188,316
F15229,316
F19239,316
F121,316
F1490,316
F11951,316
F18129,316
F19939,316
F13281,316
F1829,316
F11151,316
F1290,316
F552,316
F18920,316
F16122,316
F15920,316
F13950,316
F13980,316
F15122,316
F14981,316
F18280,316
O99324,316
F19181,316
F1210,316
F551,316
F12150,316
F1927,316
F1419,316
F11129,316
F11259,316
F122,316
F11288,316
F13951,316
F1121,316
F12229,316
F1510,316
F1221,316
F1519,316
F1810,316
F19250,316
F18,316
F13151,316
F17213,316
F1114,316
F14229,316
F1821,316
F16288,316
F1129,316
F13259,316
F13229,316
F16959,316
F18950,316
F1894,316
F19151,316
F14129,316
F11182,316
F12159,316
F1524,316
F13150,316
F1817,316
F1624,316
F1520,316
F15120,316
F16188,316
F13939,316
F1529,316
F1399,316
F11,316
F1914,316
F1523,316
F19288,316
F55,316
F14959,316
F15951,316
F18229,316
F1827,316
F14182,316
F15922,316
F1897,316
F15180,316
O99320,316
F1599,316
F12,316
F11929,316
F18180,316
F19982,316
F16221,316
F13982,316
F19180,316
F1690,316
F11281,316
F1314,316
F12980,316
F1396,316
F18188,316
F19981,316
F19221,316
F1620,316
F17223,316
F16151,316
F16180,316
F16250,316
F11282,316
F17208,316
F12259,316
F13930,316
F15288,316
O99325,316
F1994,316
F16259,316
F13,316
F16150,316
F1329,316
F12188,316
F19229,316
F1194,316
F1999,316
F18929,316
F12280,316
F18159,316
F13181,316
F1614,316
F1193,316
F19231,316
F13959,316
F1521,316
F12251,316
F1199,316
F16920,316
F15929,316
F14120,316
F14181,316
F1324,316
F17229,316
F1814,316
F14221,316
F11250,316
F1190,316
F18250,316
F19959,316
F15159,316
F13250,316
F14280,316
F16159,316
F12151,316
F12129,316
F14259,316
F16120,316
F1310,316
F1610,316
F1421,316
F1890,316
F17203,316
F14150,316
F18120,316
F161,316
F1990,316
O99322,316
F12221,316
F12222,316
F553,316
F13280,316
F18288,316
F17219,316
F16220,316
F14282,316
F12988,316
F1423,316
F11159,316
F15151,316
F19150,316
F13282,316
F13932,316
F18150,316
F1917,316
F11188,316
F1123,316
F16129,316
F1219,316
F12120,316
F14929,316
F11950,316
F12959,316
F13251,316
F11981,316
F16229,316
F15250,316
F18980,316
F13230,316
F16,316
F1390,316
F15281,316
F13180,316
F11181,316
F1590,316
F558,316
F16251,316
F14988,316
F14288,316
F1694,316
F19159,316
F19282,316
F14180,316
F11122,316
F15980,316
F19951,316
F1319,316
F17218,316
F14222,316
F13129,316
F11222,316
F16950,316
F162,316
F13231,316
F15222,316
F18220,316
F17209,316
F14159,316
F1820,316
F12220,316
F1593,316
F16280,316
F19129,316
F15182,316
F1929,316
F16983,316
F19280,316
F11920,316
F1699,316
F17228,316
F14950,316
F18959,316
F1299,316
F112,316
F19120,316
F111,316
F1594,316
F11120,316
F1414,316
F19188,316
F16283,316
F15181,316
F15981,316
F13239,316
F12922,316
F15959,316
F14980,316
F1424,316
F1394,316
F13188,316
F15251,316
F15950,316
F554,316
F14188,316
F18221,316
F15259,316
F15982,316
F19222,316
F19929,316
F182,316
F1824,316
F13920,316
F19281,316
F11150,316
F13288,316
F13220,316
F13120,316
F1621,316
O99321,316
F15988,316
F12180,316
F11982,316
F16929,316
F1499,316
F1910,316
F13182,316
F13221,316
F16951,316
F11220,316
F12920,316
F13929,316
F1819,316
F16988,316
F14151,316
F141,316
F19931,316
F13981,316
F14922,316
F19920,316
F1397,316
F12122,316
F142,316
F15150,316
F15220,316
F1899,316
F1926,316
F11251,316
F19950,316
F1120,316
F11922,316
F1326,316
F13988,316
F19230,316
F13931,316
F1119,316
F11229,316
F19232,316
F11988,316
F18251,316
F16980,316
F1410,316
F1514,316
F17293,316
F17299,316
F14251,316
F1429,316
F1924,316
F1124,316
F11959,316
F19182,316
F1229,316
F19251,316
F1327,316
F15129,316
F1921,316
F1920,316
F1220,316
F15221,316
F19259,316
F12288,316
F14281,316
F19922,316
F11221,316
F19220,316
F1321,316
F16183,316
F14220,316
F1996,316
F15280,316
F1619,316
F1110,316
F14982,316
F19122,316
F13159,316
F17298,316
F1320,316
F15,316
F19988,316
F18151,316
G4709,327.4
F5105,327.4
G470,327.4
G4700,327.4
G4701,327.4
F5102,327.4
F5104,327.4
G9389,348.9
G939,348.9
H401290,365.1
H40133,365.1
H4010X4,365.1
H4010X2,365.1
H4015,365.1
H40023,365.1
H401223,365.1
H401391,365.1
H40131,365.1
H401333,365.1
H401324,365.1
H40012,365.1
H40021,365.1
H401334,365.1
H4010,365.1
H40129,365.1
H401,365.1
H401212,365.1
H40122,365.1
H401224,365.1
H4010X3,365.1
H401234,365.1
H4012,365.1
H40029,365.1
H401231,365.1
H401312,365.1
H401232,365.1
H40123,365.1
H401321,365.1
H401230,365.1
H4010X0,365.1
H40019,365.1
H401393,365.1
H401392,365.1
H401214,365.1
H40139,365.1
H401213,365.1
H401394,365.1
H401221,365.1
H40022,365.1
H401331,365.1
H40132,365.1
H401390,365.1
H401291,365.1
H401314,365.1
H401322,365.1
H4001,365.1
H401211,365.1
H40011,365.1
H401313,365.1
H401323,365.1
H401293,365.1
H40013,365.1
H401220,365.1
H401310,365.1
H401233,365.1
H40152,365.1
H401311,365.1
H401320,365.1
H401292,365.1
H401332,365.1
H401210,365.1
H40121,365.1
H40153,365.1
H401294,365.1
H4002,365.1
H40151,365.1
H4010X1,365.1
H401222,365.1
H401330,365.1
H4013,365.1
H40159,365.1
H0283,374.6
H02835,374.6
H02836,374.6
H02832,374.6
H02831,374.6
H02834,374.6
H02833,374.6
H02839,374.6
C549,182
D070,182
C542,182
C55,182
C543,182
C548,182
C54,182
C541,182
C540,182
Z8542,182
E5112,261.2
E538,261.2
D81819,261.2
E539,261.2
E51,261.2
E53,261.2
E519,261.2
E5111,261.2
E531,261.2
E530,261.2
E518,261.2
E52,261.2
D81818,261.2
E512,261.2
E511,261.2
D638,285.2
Y270XXS,297
Y272XXD,297
Y240XXS,297
Y23,297
Y272,297
Y238XXS,297
Y26XXXA,297
Y271XXA,297
T50994S,297
Y282XXD,297
Y289XXS,297
Y29XXXS,297
Y238XXA,297
Y232XXA,297
Y239XXA,297
Y33XXXS,297
Y278XXD,297
Y24,297
Y271,297
Y25XXXD,297
Y281,297
Y29,297
T50A94S,297
Y248XXA,297
Y249XXA,297
Y31,297
Y249,297
Y26,297
T50904S,297
Y288,297
Y230XXS,297
Y270XXD,297
Y31XXXA,297
Y279,297
Y288XXS,297
Y270XXA,297
Y278,297
Y238,297
Y230XXA,297
Y233XXA,297
Y248XXS,297
Y231XXA,297
Y278XXA,297
Y281XXS,297
T50A24S,297
Y272XXS,297
Y233,297
Y281XXD,297
Y240XXD,297
Y273XXD,297
Y239XXS,297
Y248XXD,297
T50Z94S,297
Y32XXXD,297
Y288XXA,297
Y280XXA,297
T50B94S,297
Y288XXD,297
Y22XXXA,297
Y29XXXA,297
Y278XXS,297
Y32,297
Y33XXXA,297
Y271XXS,297
Y279XXS,297
Y232XXD,297
Y289XXD,297
Y279XXA,297
Y289XXA,297
Y33XXXD,297
Y272XXA,297
Y280XXS,297
Y25XXXA,297
Y233XXS,297
Y281XXA,297
Y238XXD,297
Y33,297
Y280XXD,297
Y27,297
Y249XXS,297
Y28,297
Y231,297
Y239XXD,297
Y271XXD,297
T50B14S,297
Y32XXXS,297
Y289,297
Y279XXD,297
Y31XXXS,297
Y25XXXS,297
Y31XXXD,297
Y282,297
Y26XXXS,297
Y26XXXD,297
Y248,297
Y29XXXD,297
Y239,297
Y22XXXD,297
Y232XXS,297
Y273,297
Y22,297
Y249XXD,297
T50A14S,297
Y282XXA,297
Y231XXD,297
Y273XXA,297
Y280,297
Y273XXS,297
Y230XXD,297
Y270,297
